palumaranya,palumara
parkiranya,parkir
pengaturanya,pengaturan
platernya,piring
prasmananya,prasmanan
promonya,promo
responya,respons
restonya,resto
restoranya,restoran
reviewnya,review
sambelnya,sambel
spesialiasinya,spesialisasi
teamnya,tim
topingnya,toping
vipnya,vip
wokunya,woku
balek,balik
covok,cowok
depab,depan
dugan,dugaan
hospitalia,hospitalitas
hospitalitynya,hospitalitas
iconik,ikonik
informa,informasi
jamuanya,jamuan
kanya,kata
mara,marah
masukanya,masukan
saos,saus
suasa,suasana
sukan,suka
tenamg,tenang
tengtang,tentang
unjung,ujung
ditunguin,ditunggu
nyamper,hampiri
dkasi,kasih
dksh,kasih
dl,dulu
dlidah,lidah
